SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ratio_sqft_bd,additional_bd_opp,ratio_lot_sqft,adu_potential
MLS Listing,,Multi-Family ,1650 Saint Johns Pl,Brooklyn,NY,11233,1825000,12,9,Brooklyn,5200,2000,2014,89,351,,Active,https://www.redfin.com/NY/Brooklyn/1650-Saint-Johns-Pl-11233/home/40714116,REBNY,PRCH-7552514,N,Y,40.6699414,-73.9231605,433.3333333,TRUE,0.384615385,FALSE
MLS Listing,,Multi-Family ,2196 Mcdonald Ave,Brooklyn,NY,11223,1800000,14,5,Brooklyn,4140,3375,1920,424,435,,Active,https://www.redfin.com/NY/Brooklyn/2196-McDonald-Ave-11223/home/179516100,BNYMLS,462764,N,Y,40.5986638,-73.973338,295.7142857,TRUE,0.815217391,FALSE
MLS Listing,,Multi-Family ,35-34 10th St,Long Island City,NY,11106,1800000,7,5.5,Queens,4780,2233,2005,407,377,,Active,https://www.redfin.com/NY/Astoria/3534-10th-St-11106/home/20644974,OneKey,3405731,N,Y,40.7622651,-73.9404492,682.8571429,TRUE,0.467154812,FALSE
MLS Listing,,Multi-Family ,42-32 81st St,Elmhurst,NY,11373,1800000,11,6,Queens,5148,2700,1928,40,350,,Active,https://www.redfin.com/NY/Queens/4232-81st-St-11373/home/20927454,OneKey,3483811,N,Y,40.7424172,-73.8842849,468,TRUE,0.524475524,FALSE
MLS Listing,,Multi-Family ,1746 Anthony Ave,Bronx,NY,10457,1799999,7,2,Bronx,4140,2705,1901,64,435,,Active,https://www.redfin.com/NY/Bronx/1746-Anthony-Ave-10457/home/44711907,OneKey,H6248972,N,Y,40.8451935,-73.9036716,591.4285714,TRUE,0.653381643,FALSE
MLS Listing,,Multi-Family ,73-19 71st St,Glendale,NY,11385,1799999,9,6,Queens,4800,2975,1931,149,375,,Active,https://www.redfin.com/NY/Glendale/7319-71st-St-11385/home/20878396,OneKey,3458232,N,Y,40.701481,-73.8795631,533.3333333,TRUE,0.619791667,FALSE
MLS Listing,,Multi-Family ,626 92nd St,Brooklyn,NY,11228,1799998,8,5,Brooklyn,4000,2914,1935,140,450,,Active,https://www.redfin.com/NY/Brooklyn/626-92nd-St-11228/home/40821378,BNYMLS,471986,N,Y,40.615709,-74.025705,500,TRUE,0.7285,FALSE
MLS Listing,,Multi-Family ,196-49 45th Ave,Queens,NY,11358,1799000,9,6.5,Queens,4620,4000,1915,12,389,,Active,https://www.redfin.com/NY/Queens/19649-45th-Ave-11358/home/20839373,OneKey,3489457,N,Y,40.7566612,-73.7837526,513.3333333,TRUE,0.865800866,FALSE
MLS Listing,,Multi-Family ,2401-2407 Richmond Rd,Staten Island,NY,10306,1799000,14,20,Staten Island,5400,5925,1934,42,333,,Active,https://www.redfin.com/NY/Staten-Island/2401-Richmond-Rd-10306/home/56115819,SIBORMLS,1162416,N,Y,40.5767551,-74.1185618,385.7142857,TRUE,1.097222222,FALSE
MLS Listing,,Multi-Family ,6037 Delafield Ave,Bronx,NY,10471,1795000,13,6,Bronx,4676,4621,1970,27,384,,Active,https://www.redfin.com/NY/Bronx/6037-Delafield-Ave-10471/home/44752124,REBNY,RPLU-33422537292,N,Y,40.9095628,-73.902685,359.6923077,TRUE,0.98823781,FALSE
MLS Listing,,Multi-Family ,1516 W 5th St,Brooklyn,NY,11204,1788000,2,8,Brooklyn,5840,2000,1928,71,306,,Active,https://www.redfin.com/NY/Brooklyn/1516-W-5th-St-11204/home/40837793,BNYMLS,473907,N,Y,40.6102799,-73.9793046,2920,TRUE,0.342465753,FALSE
MLS Listing,,Multi-Family ,549 50th St,Brooklyn,NY,11220,1750000,12,6.5,Brooklyn,5250,2504,1907,75,333,,Active,https://www.redfin.com/NY/Brooklyn/549-50th-St-11220/home/40692742,BNYMLS,473773,N,Y,40.6444917,-74.0089109,437.5,TRUE,0.476952381,FALSE
MLS Listing,,Multi-Family ,649 St Marks Ave,Brooklyn,NY,11216,1750000,7,4,Brooklyn,4080,2505,,96,429,,Active,https://www.redfin.com/NY/Brooklyn/649-Saint-Marks-Ave-11216/home/40708211,BNYMLS,473221,N,Y,40.6755369,-73.951618,582.8571429,TRUE,0.613970588,FALSE
MLS Listing,,Multi-Family ,124 W 131st St,New York,NY,10027,1750000,12,3,Manhattan,4238,1873,1885,143,413,,Active,https://www.redfin.com/NY/New-York/124-W-131st-St-10027/home/45305813,REBNY,PRCH-5277130,N,Y,40.8119076,-73.9439736,353.1666667,TRUE,0.441953752,FALSE
